nama_series;kode_wilayah;wilayah;tahun;nilai;target
Proporsi Penduduk yang Memiliki Telepon Seluler di Daerah Perdesaan;1;Indonesia;2001;;100
Proporsi Penduduk yang Memiliki Telepon Seluler di Daerah Perdesaan;1;Indonesia;2002;;100
Proporsi Penduduk yang Memiliki Telepon Seluler di Daerah Perdesaan;1;Indonesia;2003;;100
Proporsi Penduduk yang Memiliki Telepon Seluler di Daerah Perdesaan;1;Indonesia;2004;;100
Proporsi Penduduk yang Memiliki Telepon Seluler di Daerah Perdesaan;1;Indonesia;2005;8.19;100
Proporsi Penduduk yang Memiliki Telepon Seluler di Daerah Perdesaan;1;Indonesia;2006;12.27;100
Proporsi Penduduk yang Memiliki Telepon Seluler di Daerah Perdesaan;1;Indonesia;2007;24.33;100
Proporsi Penduduk yang Memiliki Telepon Seluler di Daerah Perdesaan;1;Indonesia;2008;38.15;100
Proporsi Penduduk yang Memiliki Telepon Seluler di Daerah Perdesaan;1;Indonesia;2009;49.21;100
Proporsi Penduduk yang Memiliki Telepon Seluler di Daerah Perdesaan;1;Indonesia;2010;61.01;100
Proporsi Penduduk yang Memiliki Telepon Seluler di Daerah Perdesaan;1;Indonesia;2011;69.46;100
Proporsi Penduduk yang Memiliki Telepon Seluler di Daerah Perdesaan;1;Indonesia;2012;75.89;100
Proporsi Penduduk yang Memiliki Telepon Seluler di Daerah Perdesaan;1;Indonesia;2013;79.42;100
Proporsi Penduduk yang Memiliki Telepon Seluler di Daerah Perdesaan;1;Indonesia;2014;81.33;100
Proporsi Penduduk yang Memiliki Telepon Seluler di Daerah Perdesaan;1;Indonesia;2015;82.92;100
Proporsi Penduduk yang Memiliki Telepon Seluler di Daerah Perdesaan;11;Aceh;2001;;
Proporsi Penduduk yang Memiliki Telepon Seluler di Daerah Perdesaan;11;Aceh;2002;;
Proporsi Penduduk yang Memiliki Telepon Seluler di Daerah Perdesaan;11;Aceh;2003;;
Proporsi Penduduk yang Memiliki Telepon Seluler di Daerah Perdesaan;11;Aceh;2004;;
Proporsi Penduduk yang Memiliki Telepon Seluler di Daerah Perdesaan;11;Aceh;2005;;
Proporsi Penduduk yang Memiliki Telepon Seluler di Daerah Perdesaan;11;Aceh;2006;12.71;
Proporsi Penduduk yang Memiliki Telepon Seluler di Daerah Perdesaan;11;Aceh;2007;27.07;
Proporsi Penduduk yang Memiliki Telepon Seluler di Daerah Perdesaan;11;Aceh;2008;40.45;
Proporsi Penduduk yang Memiliki Telepon Seluler di Daerah Perdesaan;11;Aceh;2009;52.06;
Proporsi Penduduk yang Memiliki Telepon Seluler di Daerah Perdesaan;11;Aceh;2010;65.66;
Proporsi Penduduk yang Memiliki Telepon Seluler di Daerah Perdesaan;11;Aceh;2011;72.39;
Proporsi Penduduk yang Memiliki Telepon Seluler di Daerah Perdesaan;11;Aceh;2012;77.37;
Proporsi Penduduk yang Memiliki Telepon Seluler di Daerah Perdesaan;11;Aceh;2013;79.75;
